item_id,city,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date
T8_PLANKS_LEVEL2@2,Martlock,106500.0,2023-09-26T12:10:00,109595.0,2023-09-26T12:10:00
T8_PLANKS_LEVEL2@2,Thetford,,,,
T8_PLANKS_LEVEL3@3,Bridgewatch,219988.0,2023-09-26T05:10:00,220000.0,2023-09-26T05:10:00
T8_PLANKS_LEVEL3@3,Fort Sterling,214998.0,2023-09-26T16:30:00,225000.0,2023-09-26T16:30:00
T8_PLANKS_LEVEL3@3,Lymhurst,221244.0,2023-09-26T05:05:00,232900.0,2023-09-26T05:05:00
T8_PLANKS_LEVEL3@3,Martlock,,,,
T8_PLANKS_LEVEL3@3,Thetford,226495.0,2023-09-26T05:15:00,230947.0,2023-09-26T05:15:00
T8_PLANKS_LEVEL4@4,Bridgewatch,,,,
T8_PLANKS_LEVEL4@4,Fort Sterling,1249979.0,2023-09-26T16:30:00,1302951.0,2023-09-26T16:30:00
T8_PLANKS_LEVEL4@4,Lymhurst,,,,
T8_PLANKS_LEVEL4@4,Martlock,,,,
T8_PLANKS_LEVEL4@4,Thetford,1319999.0,2023-09-26T18:30:00,1339988.0,2023-09-26T18:30:00
T8_WOOD,Bridgewatch,4355.0,2023-09-26T13:35:00,5991.0,2023-09-26T13:35:00
T8_WOOD,Fort Sterling,5365.0,2023-09-26T19:50:00,5550.0,2023-09-26T19:50:00
T8_WOOD,Lymhurst,4976.0,2023-09-26T12:10:00,5067.0,2023-09-26T12:10:00
T8_WOOD,Martlock,4838.0,2023-09-26T13:50:00,4930.0,2023-09-26T13:50:00
T8_WOOD,Thetford,4899.0,2023-09-26T14:05:00,5164.0,2023-09-26T14:05:00
T8_WOOD_LEVEL1@1,Bridgewatch,,,,
T8_WOOD_LEVEL1@1,Fort Sterling,11899.0,2023-09-26T20:35:00,13100.0,2023-09-26T20:35:00
T8_WOOD_LEVEL1@1,Lymhurst,11088.0,2023-09-26T23:40:00,15522.0,2023-09-26T23:40:00
T8_WOOD_LEVEL1@1,Martlock,9780.0,2023-09-26T06:10:00,11077.0,2023-09-26T06:10:00
T8_WOOD_LEVEL1@1,Thetford,10588.0,2023-09-26T15:50:00,10851.0,2023-09-26T15:50:00
T8_WOOD_LEVEL2@2,Bridgewatch,27991.0,2023-09-26T16:10:00,28497.0,2023-09-26T16:10:00
T8_WOOD_LEVEL2@2,Fort Sterling,28800.0,2023-09-26T09:20:00,31480.0,2023-09-26T09:20:00
T8_WOOD_LEVEL2@2,Lymhurst,27158.0,2023-09-26T23:00:00,28999.0,2023-09-26T23:00:00
T8_WOOD_LEVEL2@2,Martlock,27890.0,2023-09-27T00:20:00,29529.0,2023-09-27T00:20:00
T8_WOOD_LEVEL2@2,Thetford,29893.0,2023-09-26T14:45:00,29995.0,2023-09-26T14:45:00
T8_WOOD_LEVEL3@3,Bridgewatch,69998.0,2023-09-26T14:20:00,70972.0,2023-09-26T14:20:00
T8_WOOD_LEVEL3@3,Fort Sterling,70995.0,2023-09-27T00:40:00,71998.0,2023-09-27T00:40:00
T8_WOOD_LEVEL3@3,Lymhurst,62598.0,2023-09-26T09:05:00,74990.0,2023-09-26T09:05:00
T8_WOOD_LEVEL3@3,Martlock,70000.0,2023-09-26T17:55:00,70000.0,2023-09-26T17:55:00
T8_WOOD_LEVEL3@3,Thetford,70863.0,2023-09-26T17:05:00,70999.0,2023-09-26T17:05:00
T8_WOOD_LEVEL4@4,Bridgewatch,419989.0,2023-09-26T04:40:00,440000.0,2023-09-26T04:40:00
T8_WOOD_LEVEL4@4,Fort Sterling,419960.0,2023-09-26T12:10:00,420000.0,2023-09-26T12:10:00
T8_WOOD_LEVEL4@4,Lymhurst,419896.0,2023-09-26T17:40:00,420000.0,2023-09-26T17:40:00
T8_WOOD_LEVEL4@4,Martlock,417999.0,2023-09-26T17:35:00,448993.0,2023-09-26T17:35:00
T8_WOOD_LEVEL4@4,Thetford,419988.0,2023-09-26T16:25:00,455954.0,2023-09-26T16:25:00
