item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_LEATHER_LEVEL2@2,Thetford,1,1335,2023-09-26T15:00:00,1753,2023-09-26T15:00:00,3,2023-09-26T18:55:00,1255,2023-09-26T18:55:00
T4_LEATHER_LEVEL3@3,Bridgewatch,1,7344,2023-09-26T15:05:00,8056,2023-09-26T15:05:00,3,2023-09-26T12:50:00,6800,2023-09-26T12:50:00
T4_LEATHER_LEVEL3@3,Fort Sterling,1,7358,2023-09-26T18:50:00,7839,2023-09-26T18:50:00,,,,
T4_LEATHER_LEVEL3@3,Lymhurst,1,6999,2023-09-26T23:55:00,7578,2023-09-26T23:55:00,3,2023-09-26T23:55:00,6020,2023-09-26T23:55:00
T4_LEATHER_LEVEL3@3,Martlock,1,7012,2023-09-27T00:10:00,7146,2023-09-27T00:10:00,3,2023-09-27T00:10:00,6752,2023-09-27T00:10:00
T4_LEATHER_LEVEL3@3,Thetford,1,6987,2023-09-26T18:40:00,7775,2023-09-26T18:40:00,3,2023-09-26T13:00:00,6150,2023-09-26T13:00:00
T4_LEATHER_LEVEL4@4,Bridgewatch,1,52368,2023-09-26T18:55:00,58998,2023-09-26T18:55:00,3,2023-09-26T12:50:00,45169,2023-09-26T12:50:00
T4_LEATHER_LEVEL4@4,Fort Sterling,1,178400,2023-09-26T18:40:00,498000,2023-09-26T18:40:00,,,,
T4_LEATHER_LEVEL4@4,Lymhurst,1,137497,2023-09-26T18:40:00,309592,2023-09-26T18:40:00,3,2023-09-26T18:40:00,60000,2023-09-26T18:40:00
T4_LEATHER_LEVEL4@4,Martlock,1,59995,2023-09-26T23:20:00,70000,2023-09-26T23:20:00,3,2023-09-26T18:55:00,44590,2023-09-26T18:55:00
T4_LEATHER_LEVEL4@4,Thetford,1,59979,2023-09-26T18:25:00,67999,2023-09-26T18:25:00,3,2023-09-26T18:25:00,36165,2023-09-26T18:25:00
T4_METALBAR,Bridgewatch,1,219,2023-09-27T00:30:00,221,2023-09-27T00:30:00,1,2023-09-26T14:20:00,174,2023-09-26T14:20:00
T4_METALBAR,Fort Sterling,1,178,2023-09-26T18:45:00,209,2023-09-26T18:45:00,1,2023-09-26T18:45:00,156,2023-09-26T18:45:00
T4_METALBAR,Lymhurst,1,180,2023-09-26T15:45:00,180,2023-09-26T15:45:00,179,2023-09-27T00:30:00,179,2023-09-27T00:30:00
T4_METALBAR,Martlock,1,180,2023-09-27T00:20:00,198,2023-09-27T00:20:00,1,2023-09-26T19:15:00,178,2023-09-26T19:15:00
T4_METALBAR,Thetford,1,169,2023-09-26T22:25:00,201,2023-09-26T22:25:00,122,2023-09-26T22:25:00,165,2023-09-26T22:25:00
